"Model","Dataset","F1","Precision","Recall"
"LSTMAutoencoder","SMD","0.8718","0.9015","0.844"
"LSTMAutoencoder","synthetic","0.8767","0.7805","0.997"
"LSTMAutoencoder","SMAP","0.8723","0.7735","0.996"
"GRUAutoencoder","SMD","0.8248","0.8065","0.844"
"GRUAutoencoder","synthetic","0.8856","0.7947","0.998"
"GRUAutoencoder","SMAP","0.8759","0.7792","0.997"
"ConvLSTMAutoencoder","SMD","0.9767","0.9568","0.9974"
"ConvLSTMAutoencoder","synthetic","0.8832","0.7908","0.992"
"ConvLSTMAutoencoder","SMAP","0.8568","0.7495","0.989"
"ConvGRUAutoencoder","SMD","0.7874","1.0","0.6494"
"ConvGRUAutoencoder","synthetic","0.8688","0.768","0.994"
"ConvGRUAutoencoder","SMAP","0.8608","0.7556","0.991"
"ConvLSTMAttentionAutoencoder","SMD","0.9785","0.9612","0.9974"
"ConvLSTMAttentionAutoencoder","synthetic","0.8890","0.7995","0.996"
"ConvLSTMAttentionAutoencoder","SMAP","0.8745","0.7684","0.992"
"ConvGRUAttentionAutoencoder","SMD","0.8254","1.0","0.7035"
"ConvGRUAttentionAutoencoder","synthetic","0.8775","0.7835","0.997"
"ConvGRUAttentionAutoencoder","SMAP","0.8730","0.7742","0.993"
"VanillaTransformer","SMD","0.9075","0.9813","0.844"
"VanillaTransformer","synthetic","0.9039","0.8247","0.998"
"VanillaTransformer","SMAP","0.4353","0.4618","0.4118"
"TranAD","SMD","0.9524","0.9113","0.9974"
"TranAD","synthetic","0.9806","0.9619","0.999"
"TranAD","SMAP","0.8958","0.8113","0.998"
"TranAD_Basic","SMD","0.344","1.0","0.2077"
"TranAD_Basic","synthetic","0.9816","0.9639","0.999"
"TranAD_Basic","SMAP","0.8926","0.806","0.996"
"TranAD_Transformer","SMD","0.8953","0.8122","0.9974"
"TranAD_Transformer","synthetic","0.9776","0.9562","0.999"
"TranAD_Transformer","SMAP","0.9045","0.8256","0.998"
"TransformerEncoderDecoder","SMD","0.8988","0.818","0.9974"
"TransformerEncoderDecoder","synthetic","0.9065","0.829","0.998"
"TransformerEncoderDecoder","SMAP","0.8662","0.764","0.995"