f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,model,dataset
0.0,0.0,0.0,0,169,71985,0,0,0.0001820332,,,,,0.007984979,ConvLSTMAutoencoder,PAMAP2_raw_w100
0.8547074779406649,0.7462862183786129,0.9999999996715281,30444,0,10350,0,0.5,0.0014023167,1.0,1.0,1.0,1.0,1.0287728,LSTMAutoencoder,PAMAP2_normact
0.8547074779406649,0.7462862183786129,0.9999999996715281,30444,0,10350,0,0.5,0.0022017176,1.0,1.0,1.0,1.0,0.786474,GRUAutoencoder,PAMAP2_normact
0.8547074779406649,0.7462862183786129,0.9999999996715281,30444,0,10350,0,0.5,1.2040069e-05,1.0,1.0,1.0,1.0,0.16084507,ConvLSTMAutoencoder,PAMAP2_normact
0.8547074779406649,0.7462862183786129,0.9999999996715281,30444,0,10350,0,0.5,4.822744e-06,1.0,1.0,1.0,1.0,0.14713466,ConvGRUAutoencoder,PAMAP2_normact
0.8547074779406649,0.7462862183786129,0.9999999996715281,30444,0,10350,0,0.5,0.00061855005,1.0,1.0,1.0,1.0,0.1737693,ConvLSTMAttentionAutoencoder,PAMAP2_normact
0.8547074779406649,0.7462862183786129,0.9999999996715281,30444,0,10350,0,0.5,0.00073447794,1.0,1.0,1.0,1.0,0.16696088,ConvGRUAttentionAutoencoder,PAMAP2_normact
0.8547074779406649,0.7462862183786129,0.9999999996715281,30444,0,10350,0,0.5,0.00074434007,1.0,1.0,1.0,1.0,0.12017007,ConvGRUAttentionAutoencoder,PAMAP2_normact
0.8557552829420961,0.7502178963720577,0.9958466546956853,272858.0,2303.0,90847.0,1138.0,0.49658333846405456,1.0,1.0,1.0,1.0,0.10111911,ConvGRUAttentionAutoencoder,PAMAP2_normact
0.8547065598868819,0.7462854870472088,0.99998540124673,273992.0,1.0,93149.0,4.0,0.4999908757792085,1.0,1.0,1.0,1.0,1.0287728,LSTMAutoencoder,PAMAP2_normact
0.8548463352078935,0.7466614329056349,0.9996934261814004,273912.0,213.0,92937.0,84.0,0.4994939839384093,1.0,1.0,1.0,1.0,0.786474,GRUAutoencoder,PAMAP2_normact
0.8554608050504128,0.7482027569121033,0.9986167681279983,273617.0,1068.0,92082.0,379.0,0.4975033011166354,1.0,1.0,1.0,1.0,0.16084507,ConvLSTMAutoencoder,PAMAP2_normact
0.8540236344964869,0.7497531157073559,0.9919816347683872,271799.0,2431.0,90719.0,2197.0,0.49360449248069,1.0,1.0,1.0,1.0,0.1470882,ConvGRUAutoencoder,PAMAP2_normact
0.8540779371826286,0.7470869165627236,0.9968357202294889,273129.0,687.0,92463.0,867.0,0.49814956888188994,1.0,1.0,1.0,1.0,0.1737693,ConvLSTMAttentionAutoencoder,PAMAP2_normact
0.8540779371826286,0.7470869165627236,0.9968357202294889,273129.0,687.0,92463.0,867.0,0.49814956888188994,1.0,1.0,1.0,1.0,0.1737693,ConvLSTMAttentionAutoencoder,PAMAP2_normact
0.8544727089447592,0.7469905516843877,0.998083913633772,273471.0,524.0,92626.0,525.0,0.49822958909164233,1.0,1.0,1.0,1.0,0.16680403,ConvGRUAttentionAutoencoder,PAMAP2_normact
0.85471234558431,0.7462922762223552,0.9999890509350465,273993.0,4.0,93146.0,3.0,0.49998722609089186,1.0,1.0,1.0,1.0,0.7751826,TransformerEncoderDecoder,PAMAP2_normact
0.8535174181368523,0.7478948900619017,0.9938794726930285,272319.0,1355.0,91795.0,1677.0,0.4962292425299343,1.0,1.0,1.0,1.0,0.28881666,VanillaTransformer,PAMAP2_normact
for PAMAP2_normact DATASET:
LSTMAutoencoder: 28.1041 s
GRUAutoencoder: 24.5931 s
ConvLSTMAutoencoder: 1591.0516 s
ConvGRUAutoencoder: 1927.2850 s
ConvLSTMAttentionAutoencoder: 2402.2894 s
ConvGRUAttentionAutoencoder: 3316.2842 s
TransformerEncoderDecoder: 190.8058 s
VanillaTransformer: 23.8629 smodel,dataset,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,0.19537406783500022,0.10829751448327406,0.9970578620464118,115900,9798,954300,342,0.9583654088205176,,0.4200719189277542,0.538411245505067,,,0.0016598948,8.385237693786621
model,dataset,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMD,0.19605269134618758,0.10868491551551243,0.999569862872275,116192,11218,952880,50,0.9547755505744894,,0.15102974828375287,0.17162471395881007,,,0.0010488913,7.280683279037476
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,10,0.1767413377985253,0.09695280003135086,0.9983282411944332,103908,9948,967830,174,0.9312110387345219,,0.11683096020445419,0.30704636728733115,,,0.0011954588,5.900822877883911
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMD,10,0.17717954449287485,0.09721340223058748,0.9986645145173901,103943,12496,965282,139,0.9275992682967907,,0.09309967141292443,0.1383716684921504,,,0.00082450954,5.722508430480957
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,20,0.18182559770129028,0.10001710780817184,0.9987397546722335,106987,11658,962700,135,0.94931632267567,,0.40723660872649875,0.539198297268535,,,0.0013922619,6.238412141799927
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,20,0.18182559770129028,0.10001710780817184,0.9987397546722335,106987,11658,962700,135,0.94931632267567,,0.40723660872649875,0.539198297268535,,,0.0013922619,10.236042022705078
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMD,20,0.18202108765348543,0.10014989720932448,0.9973021414835328,106833,14460,959898,289,0.9400612149813995,,0.06775452288045407,0.11883646683221,,,0.0008927736,6.631537199020386
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMD,20,0.9930739672206321,0.9936079510170172,0.9925505463194375,2798,25623,18,21,0.9399777294420785,0.0038237081235274676,0.06172401560837176,0.10251862362539908,,,0.0006719591,6.879306077957153
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TransformerEncoderDecoder,SMD,20,0.9043868028076354,0.9999999957026213,0.8254700219032635,2327,25641,0,492,0.9514916435810371,0.025710963802557683,0.5157857396239801,0.5200425682866264,,,0.0023483208,35.0712947845459
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,10,0.9662112161756613,0.9417677610337338,0.9919678678643012,2717,25563,168,22,0.9312110387345219,0.007945626078544592,0.11683096020445419,0.30704636728733115,,,0.0011954588,5.8266215324401855
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMD,10,0.9961761203155768,0.9923913007522054,0.9999999963490325,2739,25710,21,0,0.9275992682967907,0.00689544389177172,0.09309967141292443,0.1383716684921504,,,0.00082450954,5.1623759269714355
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAutoencoder,SMD,10,0.9999949963740323,0.9999999963490325,0.9999999963490325,2739,25731,0,0,0.8936241076175419,0.004242331145251227,0.022635998539612998,0.033588901058780575,,,0.00031830347,77.6539671421051
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMD,10,0.17593782117163412,0.09645385075888298,1.0,2739,73,25658,0,0.9252762974765361,3.708854e-05,0.08141657539247901,0.12522818546914932,,,0.00063186383,6.043068885803223
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,10,0.17573463364557937,0.09633172721837302,1.0,2739,37,25694,0,0.9352286637798044,3.9391343e-05,0.09090909090909091,0.19350127783862722,,,0.0010218071,6.63376784324646
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,10,0.17611882716049382,0.09656266525647805,1.0,2739,105,25626,0,0.9312110387345219,5.2365376e-05,0.11683096020445419,0.30704636728733115,,,0.0011954588,4.972728252410889
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,10,0.17573463364557937,0.09633172721837302,1.0,2739,37,25694,0,0.9352286637798044,3.9391343e-05,0.09090909090909091,0.19350127783862722,,,0.0010218071,5.549579858779907
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMD,10,0.7711148648648649,0.6274914089347079,1.0,2739,24105,1626,0,0.9349631595087711,0.0005695525003829997,0.1171960569550931,0.16976998904709747,,,0.00089436077,6.42305326461792
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMD,10,0.8310072815533981,0.7108746431352193,1.0,2739,24617,1114,0,0.9240649413344391,0.0006696835899492728,0.08725812340270171,0.1343556042351223,,,0.00056684605,5.825507164001465
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAutoencoder,SMD,10,0.8999507146377526,0.818100358422939,1.0,2739,25122,609,0,0.8908807030085428,0.0007550039415946242,0.022635998539612998,0.0511135450894487,,,0.00029097576,78.31451678276062
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TransformerEncoderDecoder,SMD,10,0.8409579367516119,0.7255629139072848,1.0,2739,24695,1036,0,0.9500635517504674,0.004432229208759965,0.5100401606425703,0.5129609346476817,,,0.0022142278,33.13265943527222
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
VanillaTransformer,SMD,10,0.9329019073569482,0.8742419406319821,1.0,2739,25337,394,0,0.9371930505931356,0.004575179284438491,0.5480102227090179,0.5947426067907996,,,0.0014450209,12.127481937408447
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TranAD,SMD,10,0.9469317199654278,0.8992120814182535,1.0,2739,25424,307,0,0.9274297737868707,0.004596741893328733,0.5184373859072654,0.5640744797371303,,,0.0013886003,28.421996593475342
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAttentionAutoencoder,SMD,10,0.8713217750914586,0.7719842164599775,1.0,2739,24922,809,0,0.8944690119610157,0.0007972355681704427,0.23658269441401972,0.26140927345746623,,,0.0004598372,137.99428415298462
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvGRUAttentionAutoencoder,SMD,10,0.8990645002461841,0.8166368515205724,1.0,2739,25116,615,0,0.8923011338317894,0.0007893859769683357,0.040160642570281124,0.14311792625045638,,,0.00042971736,251.79103302955627
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMAP,10,0.9371221281741233,0.8816837315130831,1.0,775,7617,104,0,0.43847738258875035,0.06382262021303182,0.6438709677419355,0.6606451612903226,,,3766.4885,0.9532809257507324
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMAP,10,0.9411050394656952,0.8887614678899083,1.0,775,7624,97,0,0.43233686092809304,0.06154387816786769,0.5264516129032258,0.5277419354838709,,,3766.4766,0.8386244773864746
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAutoencoder,SMAP,10,0.9359903381642513,0.8796821793416572,1.0,775,7615,106,0,0.4027577073001575,0.06044548735022545,0.6464516129032258,0.6606451612903226,,,3765.616,10.28855276107788
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TransformerEncoderDecoder,SMAP,10,0.9177027827116637,0.8479212253829321,1.0,775,7582,139,0,0.5011666548291004,0.08328490868210796,0.52,0.5277419354838709,,,3766.5593,4.185276508331299
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
VanillaTransformer,SMAP,10,0.9171597633136095,0.8469945355191257,1.0,775,7581,140,0,0.4462398736583511,0.033102878704667105,0.5341935483870968,0.5458064516129032,,,3766.4932,1.5536162853240967
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
VanillaTransformer,SMAP,10,0.9171597633136095,0.8469945355191257,1.0,775,7581,140,0,0.4462398736583511,0.033102878704667105,0.5341935483870968,0.5458064516129032,,,3766.4932,2.0361430644989014
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
TranAD,SMAP,10,0.9411050394656952,0.8887614678899083,1.0,775,7624,97,0,0.5266504004579049,0.20918885797262193,0.4270967741935484,0.5174193548387097,,,3766.4675,3.0982913970947266
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvLSTMAttentionAutoencoder,SMAP,10,0.9286998202516477,0.8668903803131991,1.0,775,7602,119,0,0.4347350961558548,0.06460573107004168,0.6464516129032258,0.6477419354838709,,,3766.5034,14.449798107147217
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
ConvGRUAttentionAutoencoder,SMAP,10,0.9422492401215805,0.8908045977011494,1.0,775,7626,95,0,0.4314480407435106,0.06303006589412691,0.6464516129032258,0.6477419354838709,,,3766.4736,17.109662294387817
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
LSTMAutoencoder,SMAP,10,0.9371221281741233,0.8816837315130831,1.0,775,7617,104,0,0.43849710258156427,0.0638348282873631,0.6438709677419355,0.6606451612903226,,,3766.4885,1.1008739471435547
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMAP,10,0.9411050394656952,0.8887614678899083,1.0,775,7624,97,0,0.43231797652819504,0.061555389314889936,0.5264516129032258,0.5277419354838709,,,3766.4766,0.723231315612793
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
GRUAutoencoder,SMAP,10,0.9411050394656952,0.8887614678899083,1.0,775,7624,97,0,0.43231797652819504,0.061555389314889936,0.5264516129032258,0.5277419354838709,,,3766.4766,0.6263959407806396
model,dataset,n_window,f1,precision,recall,TP,TN,FP,FN,ROC/AUC,threshold,Hit@100%,Hit@150%,NDCG@100%,NDCG@150%,overall_mse,training_time_s
